original_name,pdf_file,text_file,source_page,pdf_url
Cy4Gate-Northern-MidCap-Event-2026-Presentation.pdf,pdfs/Cy4Gate-Northern-MidCap-Event-2026-Presentation__b79bcb12f6.pdf,extracted/Cy4Gate-Northern-MidCap-Event-2026-Presentation__b79bcb12f6.txt,https://www.cy4gate.com/company/investor-relations/presentations-and-financial-highlight/year-3/,https://www.cy4gate.com/assets/Uploads/Cy4Gate-Northern-MidCap-Event-2026-Presentation.pdf
Cy4Gate-Q1-2026-Presentation-DEF.pdf,pdfs/Cy4Gate-Q1-2026-Presentation-DEF__8c09226d65.pdf,extracted/Cy4Gate-Q1-2026-Presentation-DEF__8c09226d65.txt,https://www.cy4gate.com/company/investor-relations/presentations-and-financial-highlight/year-3/,https://www.cy4gate.com/assets/Uploads/Cy4Gate-Q1-2026-Presentation-DEF.pdf
Cy4Gate-STAR-Conference-2026-last.pdf,pdfs/Cy4Gate-STAR-Conference-2026-last__a7e17a04dd.pdf,extracted/Cy4Gate-STAR-Conference-2026-last__a7e17a04dd.txt,https://www.cy4gate.com/company/investor-relations/presentations-and-financial-highlight/year-3/,https://www.cy4gate.com/assets/Uploads/Cy4Gate-STAR-Conference-2026-last.pdf
Cy4Gate-FY-2025-Presentation-last2.pdf,pdfs/Cy4Gate-FY-2025-Presentation-last2__89e38d72ff.pdf,extracted/Cy4Gate-FY-2025-Presentation-last2__89e38d72ff.txt,https://www.cy4gate.com/company/investor-relations/presentations-and-financial-highlight/year-3/,https://www.cy4gate.com/assets/Uploads/Cy4Gate-FY-2025-Presentation-last2.pdf
Download,pdfs/Download__35d319fdb1.pdf,extracted/Download__35d319fdb1.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/2fb28aca-22d3-4958-b15d-85a8c3b799db/minutes
Download,pdfs/Download__c3b3af94fa.pdf,extracted/Download__c3b3af94fa.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/77ef6cfd-687d-4fb8-9061-ea51bc91015f/minutes
Download,pdfs/Download__55f6fe6aba.pdf,extracted/Download__55f6fe6aba.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/0fe9bb66-69fc-494d-896b-5a5fc05fb9f4/minutes
Download,pdfs/Download__24259f5cab.pdf,extracted/Download__24259f5cab.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/36cc64d2-2330-4360-88c4-a0e9237fb2f5/minutes
Download,pdfs/Download__15602e987e.pdf,extracted/Download__15602e987e.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/4901d72c-df49-44a0-86c5-aa9990f92313/minutes
Download,pdfs/Download__a7c043a6aa.pdf,extracted/Download__a7c043a6aa.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/e255f7de-09c2-40cd-afd1-e326b9f81bf2/minutes
Download,pdfs/Download__d087e0b040.pdf,extracted/Download__d087e0b040.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/eb478285-a66c-4508-ba2f-74b55324dfee/minutes
Download,pdfs/Download__1e705fa5a0.pdf,extracted/Download__1e705fa5a0.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/93859c13-9415-4956-b621-691b443dcf47/minutes
Download,pdfs/Download__c102539a5d.pdf,extracted/Download__c102539a5d.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/401208c5-19c6-4624-910e-ee493f18a6e6/minutes
Download,pdfs/Download__ba9758e8c5.pdf,extracted/Download__ba9758e8c5.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/543894c8-834d-45a3-a6b3-c5ade83c239d/minutes
Download,pdfs/Download__3ea153e2ae.pdf,extracted/Download__3ea153e2ae.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/6a4c0148-997c-4695-806f-97046c27b308/minutes
Download,pdfs/Download__8c7b35610a.pdf,extracted/Download__8c7b35610a.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/79308e02-52e1-4989-8820-327a6f95b5d0/minutes
Download,pdfs/Download__7fc3e8fbbe.pdf,extracted/Download__7fc3e8fbbe.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/ebd4f9bb-26c5-4b47-9512-74f6b98b1fa9/minutes
Download,pdfs/Download__972cd1d319.pdf,extracted/Download__972cd1d319.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/60b3f255-d20a-4b9e-b1ac-9dc83ed6de51/minutes
Download,pdfs/Download__7ec7e0e283.pdf,extracted/Download__7ec7e0e283.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/1802c57d-dd4f-490e-aa46-e1d9684a33c8/minutes
Download,pdfs/Download__d1e70f5f14.pdf,extracted/Download__d1e70f5f14.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/a4a0720b-d686-489e-aece-e2d29f03955f/minutes
Download,pdfs/Download__c2c91683f0.pdf,extracted/Download__c2c91683f0.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/c5502bfe-fca6-4843-9d73-0d1879757391/minutes
Download,pdfs/Download__d3bb08f1f0.pdf,extracted/Download__d3bb08f1f0.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/f497f8f2-6bda-4809-a0fd-4f046005c26f/minutes
Download,pdfs/Download__980621d42c.pdf,extracted/Download__980621d42c.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/b86e856c-4367-4ef0-80ee-93de36a3aa16/minutes
Download,pdfs/Download__f3fb2c27d8.pdf,extracted/Download__f3fb2c27d8.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=61569260-525e-42f8-aa52-51d7bfc30d4f&page=1,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/aef00f55-7b0a-4c3a-a873-b4ac9ecaccff/minutes
Download,pdfs/Download__9194c688c1.pdf,extracted/Download__9194c688c1.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=aae7124c-b839-4139-9ffe-ad5660fe9404,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/87d799ab-3e2a-4226-86a2-49642a795994/minutes
Download,pdfs/Download__411c36e1ca.pdf,extracted/Download__411c36e1ca.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=aae7124c-b839-4139-9ffe-ad5660fe9404,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/062de9d6-9e48-41f9-9ff5-dd5308bda8f9/minutes
Download,pdfs/Download__1fb91e6cf9.pdf,extracted/Download__1fb91e6cf9.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=aae7124c-b839-4139-9ffe-ad5660fe9404,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/3f334abe-a1fa-4b3d-8e94-fa8a93ae2ce3/minutes
Download,pdfs/Download__1dd7d2f252.pdf,extracted/Download__1dd7d2f252.txt,https://ec.europa.eu/transparency-initiative/meetings/meeting.do?host=aae7124c-b839-4139-9ffe-ad5660fe9404,https://ec.europa.eu/transparency-initiative/meetings/data/meetings/792cfc22-9f5e-43a7-85e5-076a31a85f9b/minutes
